date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,weather_code,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
2000-01-02,25.369999999999997,13.580000000000002,24.9,12.715,0.0,0.0,0.9,13.030000000000001,26.535000000000004,138.0
2000-01-09,25.37142857142857,12.98,24.691428571428574,11.697142857142856,0.011428571428571429,0.011428571428571429,2.5,12.798571428571428,26.624285714285715,135.32857142857142
2000-01-16,26.052857142857142,14.617142857142857,25.915714285714284,14.248571428571429,0.4114285714285714,0.4114285714285714,8.742857142857142,12.911428571428571,26.447142857142858,171.4142857142857
2000-01-23,26.942857142857143,14.110000000000001,26.41142857142857,13.348571428571429,0.032857142857142856,0.032857142857142856,3.0714285714285716,13.324285714285715,28.167142857142856,194.34285714285716
2000-01-30,26.804285714285715,14.601428571428572,26.33142857142857,13.655714285714286,0.34285714285714286,0.34285714285714286,5.5285714285714285,13.661428571428571,28.664285714285715,136.7
2000-02-06,26.38142857142857,15.142857142857142,26.457142857142856,15.145714285714286,0.6,0.6,14.357142857142858,14.084285714285715,28.99857142857143,183.9857142857143
2000-02-13,25.678571428571427,15.161428571428571,25.802857142857142,15.018571428571429,1.1642857142857144,1.1642857142857144,15.271428571428572,13.28857142857143,27.52285714285714,188.77142857142857
2000-02-20,26.941428571428574,14.624285714285715,26.917142857142856,13.954285714285714,0.05714285714285714,0.05714285714285714,5.828571428571428,13.617142857142857,28.111428571428572,195.42857142857142
2000-02-27,27.00857142857143,15.827142857142858,27.191428571428574,15.657142857142857,1.6328571428571428,1.6328571428571428,15.32857142857143,14.824285714285715,30.12,176.4
2000-03-05,30.744285714285713,16.681428571428572,31.095714285714283,16.24,0.05142857142857143,0.05142857142857143,5.1571428571428575,14.112857142857143,29.39714285714286,190.5857142857143
2000-03-12,30.75142857142857,17.34857142857143,30.934285714285714,17.189999999999998,0.02857142857142857,0.02857142857142857,5.914285714285715,15.028571428571428,30.835714285714285,217.0
2000-03-19,31.571428571428573,18.094285714285714,32.067142857142855,18.55142857142857,0.08714285714285715,0.08714285714285715,5.357142857142857,14.518571428571429,29.995714285714282,230.21428571428572
2000-03-26,32.71714285714285,18.797142857142855,33.137142857142855,18.50142857142857,0.1357142857142857,0.1357142857142857,4.271428571428571,15.007142857142858,31.188571428571425,149.37142857142857
2000-04-02,35.34285714285714,21.207142857142856,36.121428571428574,21.744285714285713,0.09428571428571429,0.09428571428571429,4.814285714285714,15.397142857142857,31.987142857142857,178.54285714285714
2000-04-09,36.26285714285714,22.442857142857143,37.34571428571428,23.664285714285715,0.031428571428571424,0.031428571428571424,3.6142857142857143,16.467142857142857,33.30428571428572,240.0142857142857
2000-04-16,36.455714285714286,23.262857142857143,38.68142857142857,24.985714285714284,0.8671428571428572,0.8671428571428572,14.9,15.441428571428572,31.438571428571425,219.3
2000-04-23,36.690000000000005,24.10142857142857,39.07285714285714,26.18,0.5628571428571428,0.5628571428571428,17.814285714285713,16.7,32.85857142857143,232.6
2000-04-30,37.46714285714285,24.61714285714286,39.52285714285714,26.495714285714286,0.7185714285714285,0.7185714285714285,13.642857142857142,19.25857142857143,38.432857142857145,242.64285714285714
2000-05-07,36.58428571428571,24.970000000000002,39.317142857142855,27.439999999999998,1.3457142857142859,1.3457142857142859,22.1,17.49142857142857,35.761428571428574,209.62857142857143
2000-05-14,35.35857142857143,25.231428571428573,39.06285714285715,28.43857142857143,1.4857142857142858,1.4857142857142858,27.15714285714286,15.76,32.887142857142855,218.04285714285714
2000-05-21,35.52285714285714,26.458571428571428,38.51285714285714,28.88285714285714,3.4242857142857144,3.4242857142857144,31.62857142857143,20.02857142857143,40.57571428571429,231.04285714285714
2000-05-28,35.51714285714286,26.402857142857144,39.09428571428571,29.62142857142857,2.26,2.26,28.928571428571427,18.832857142857144,37.255714285714284,223.82857142857142
2000-06-04,34.50714285714286,26.234285714285715,38.56142857142857,29.662857142857145,4.482857142857143,4.482857142857143,45.01428571428571,17.455714285714286,36.642857142857146,224.9
2000-06-11,31.765714285714285,25.17,35.51571428571428,28.645714285714288,11.907142857142857,11.907142857142857,48.51428571428571,19.35571428571429,39.50285714285714,207.18571428571428
2000-06-18,33.02285714285714,25.781428571428574,36.58428571428571,28.68,2.4985714285714287,2.4985714285714287,34.27142857142857,19.67142857142857,40.05428571428572,234.62857142857143
2000-06-25,32.637142857142855,25.56142857142857,36.20285714285714,28.874285714285715,2.057142857142857,2.057142857142857,32.97142857142857,18.057142857142857,37.19285714285714,224.5142857142857
2000-07-02,31.331428571428567,25.045714285714286,35.018571428571434,28.27714285714286,6.83,6.83,48.75714285714286,18.525714285714287,38.32714285714286,207.95714285714286
2000-07-09,30.20142857142857,24.58857142857143,34.62428571428571,28.321428571428573,10.25,10.25,56.22857142857143,16.965714285714284,35.8,226.14285714285714
2000-07-16,29.04,24.46142857142857,32.33571428571429,27.502857142857142,14.751428571428571,14.751428571428571,53.22857142857143,20.93,43.285714285714285,200.92857142857142
2000-07-23,29.114285714285714,24.01,32.395714285714284,26.934285714285714,6.277142857142858,6.277142857142858,48.05714285714286,19.94857142857143,40.16,221.81428571428572
2000-07-30,30.367142857142856,23.928571428571427,34.50857142857143,27.57,2.7842857142857143,2.7842857142857143,39.05714285714286,15.389999999999999,31.728571428571428,231.77142857142857
2000-08-06,31.275714285714287,24.36857142857143,35.332857142857144,27.865714285714283,2.95,2.95,35.24285714285714,15.894285714285713,33.004285714285714,252.4
